ID,Temp,Yield,Comp
252,-103,1370,Hf0.75NbTa0.5Ti1.5Zr1.25
253,-43,1200,Hf0.75NbTa0.5Ti1.5Zr1.25
254,-43,1180,Hf0.75NbTa0.5Ti1.5Zr1.25
255,25,1150,Hf0.75NbTa0.5Ti1.5Zr1.25
256,25,1100,Hf0.75NbTa0.5Ti1.5Zr1.25
257,72,1040,Hf0.75NbTa0.5Ti1.5Zr1.25
258,72,1020,Hf0.75NbTa0.5Ti1.5Zr1.25
259,2096,0,Hf0.75NbTa0.5Ti1.5Zr1.25
260,25,1617,HfMo0.5NbSi0.3TiV0.5
261,1200,166,HfMo0.5NbSi0.3TiV0.5
262,2109,0,HfMo0.5NbSi0.3TiV0.5
263,1000,398,HfMo0.5NbSi0.3TiV0.5
264,25,1600,HfMoNbTaTiZr
265,800,1045,HfMoNbTaTiZr
266,1000,855,HfMoNbTaTiZr
267,1200,404,HfMoNbTaTiZr
268,2279,0,HfMoNbTaTiZr
269,23,1575,HfMoNbTiZr
270,800,825,HfMoNbTiZr
271,1000,635,HfMoNbTiZr
272,1200,187,HfMoNbTiZr
273,2297,0,HfMoNbTiZr
274,25,1399,HfNbSi0.5TiV
275,800,875,HfNbSi0.5TiV
276,1000,240,HfNbSi0.5TiV
277,1999,0,HfNbSi0.5TiV
278,25,1540,HfNbSi0.5TiVZr
279,25,1483,HfNbSi0.5TiVZr
280,400,1273,HfNbSi0.5TiVZr
281,600,920,HfNbSi0.5TiVZr
282,600,597,HfNbSi0.5TiVZr
283,800,371,HfNbSi0.5TiVZr
284,800,102,HfNbSi0.5TiVZr
285,1973,0,HfNbSi0.5TiVZr
286,23,929,HfNbTaTiZr
287,600,675,HfNbTaTiZr
288,800,535,HfNbTaTiZr
289,1000,295,HfNbTaTiZr
290,1200,92,HfNbTaTiZr
291,2250,0,HfNbTaTiZr
292,25,1515,MoNbTaTiVW
293,600,973,MoNbTaTiVW
294,800,791.3,MoNbTaTiVW
295,1000,752.8,MoNbTaTiVW
296,1200,659,MoNbTaTiVW
297,2520,0,MoNbTaTiVW
298,23,1246,MoNbTaVW
299,600,862,MoNbTaVW
300,800,846,MoNbTaVW
301,1000,842,MoNbTaVW
302,1200,735,MoNbTaVW
303,1400,656,MoNbTaVW
304,1600,477,MoNbTaVW
305,2690,0,MoNbTaVW
306,23,1058,MoNbTaW
307,600,561,MoNbTaW
308,800,552,MoNbTaW
309,1000,548,MoNbTaW
310,1200,506,MoNbTaW
311,1400,421,MoNbTaW
312,1600,405,MoNbTaW
313,2885,0,MoNbTaW
314,850,310,N0.05Co45Cr25Fe15Ni15
315,850,240,N0.05Co45Cr25Fe15Ni15
316,850,160,N0.05Co45Cr25Fe15Ni15
317,900,260,N0.05Co45Cr25Fe15Ni15
318,900,190,N0.05Co45Cr25Fe15Ni15
319,900,100,N0.05Co45Cr25Fe15Ni15
320,950,210,N0.05Co45Cr25Fe15Ni15
321,950,130,N0.05Co45Cr25Fe15Ni15
322,950,70,N0.05Co45Cr25Fe15Ni15
323,1000,150,N0.05Co45Cr25Fe15Ni15
324,1000,80,N0.05Co45Cr25Fe15Ni15
325,1000,50,N0.05Co45Cr25Fe15Ni15
326,1598.49,0,N0.05Co45Cr25Fe15Ni15
327,22,675,Nb30Ti40Zr30
328,600,370,Nb30Ti40Zr30
329,700,210,Nb30Ti40Zr30
330,800,125,Nb30Ti40Zr30
331,1000,115,Nb30Ti40Zr30
332,1966.8,0,Nb30Ti40Zr30
333,-187,2112,NbTaTiVZr
334,25,1513,NbTaTiVZr
335,1200,78,NbTaTiVZr
336,2185.4,0,NbTaTiVZr
337,25,918,NbTiV2Zr
338,600,571,NbTiV2Zr
339,800,240,NbTiV2Zr
340,1000,72,NbTiV2Zr
341,1964,0,NbTiV2Zr
342,25,1105,NbTiVZr
343,600,834,NbTiVZr
344,800,187,NbTiVZr
345,1000,58,NbTiVZr
346,1978,0,NbTiVZr
347,25,354,Al0.05Cr0.5FeMn0.625Ni0.375
348,400,260,Al0.05Cr0.5FeMn0.625Ni0.375
349,600,155,Al0.05Cr0.5FeMn0.625Ni0.375
350,1447.64,0,Al0.05Cr0.5FeMn0.625Ni0.375
351,25,550,Al0.15Cr0.5FeMn0.625Ni0.375
352,400,469,Al0.15Cr0.5FeMn0.625Ni0.375
353,600,272,Al0.15Cr0.5FeMn0.625Ni0.375
354,1448.39,0,Al0.15Cr0.5FeMn0.625Ni0.375
355,25,1965,Al0.214Nb0.714Ta0.571TiV0.143Zr0.929
356,800,678,Al0.214Nb0.714Ta0.571TiV0.143Zr0.929
357,1000,166,Al0.214Nb0.714Ta0.571TiV0.143Zr0.929
358,2043.42,0,Al0.214Nb0.714Ta0.571TiV0.143Zr0.929
359,25,1965,Al0.214Nb0.714Ta0.714TiZr0.929
360,800,362,Al0.214Nb0.714Ta0.714TiZr0.929
361,1000,236,Al0.214Nb0.714Ta0.714TiZr0.929
362,2087.75,0,Al0.214Nb0.714Ta0.714TiZr0.929
363,23,1240,Al0.24NbTiVZr
364,1000,82,Al0.24NbTiVZr
365,1200,24,Al0.24NbTiVZr
366,1902.95,0,Al0.24NbTiVZr
367,25,994,Al0.25Cr0.5FeMn0.625Ni0.375
368,400,943,Al0.25Cr0.5FeMn0.625Ni0.375
369,600,359,Al0.25Cr0.5FeMn0.625Ni0.375
370,1447.64,0,Al0.25Cr0.5FeMn0.625Ni0.375
371,25,1340,Al0.25Cr0.5Nb0.5TiV0.25
372,600,930,Al0.25Cr0.5Nb0.5TiV0.25
373,800,445,Al0.25Cr0.5Nb0.5TiV0.25
374,1000,90,Al0.25Cr0.5Nb0.5TiV0.25
375,1801.05,0,Al0.25Cr0.5Nb0.5TiV0.25
376,23,627,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
377,23,520,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
378,600,594,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
379,600,470,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
380,700,486,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
381,700,487,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
382,700,547,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
383,700,461,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
384,800,445,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
385,800,399,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
386,900,243,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
387,900,219,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
388,1446.87,0,Al0.278Co0.694Cr0.222Fe0.417NiTi0.167
389,25,2035,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667
390,800,796,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667
391,1000,220,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667
392,1992.04,0,Al0.333Nb0.667Ta0.533TiV0.133Zr0.667
393,25,866,Al0.343Co0.514Cr0.514FeNi0.514
394,650,400,Al0.343Co0.514Cr0.514FeNi0.514
395,700,220,Al0.343Co0.514Cr0.514FeNi0.514
396,1476.97,0,Al0.343Co0.514Cr0.514FeNi0.514
397,25,942,Al0.35Cr0.5FeMn0.625Ni0.375
398,400,833,Al0.35Cr0.5FeMn0.625Ni0.375
399,600,326,Al0.35Cr0.5FeMn0.625Ni0.375
400,1420.02,0,Al0.35Cr0.5FeMn0.625Ni0.375
401,25,1284,Al0.5CoCrCuFeNi
402,300,411,Al0.5CoCrCuFeNi
403,500,421,Al0.5CoCrCuFeNi
404,700,426,Al0.5CoCrCuFeNi
405,900,230,Al0.5CoCrCuFeNi
406,1000,150,Al0.5CoCrCuFeNi
407,1100,80,Al0.5CoCrCuFeNi
408,1419.97,0,Al0.5CoCrCuFeNi
409,25,1700,Al0.667CrNb0.667Ti0.667V0.667
410,600,1370,Al0.667CrNb0.667Ti0.667V0.667
411,800,970,Al0.667CrNb0.667Ti0.667V0.667
412,1000,75,Al0.667CrNb0.667Ti0.667V0.667
413,1741.07,0,Al0.667CrNb0.667Ti0.667V0.667
414,25,1535,Al0.667Nb0.667Ti0.667V0.667Zr
415,600,1195,Al0.667Nb0.667Ti0.667V0.667Zr
416,800,180,Al0.667Nb0.667Ti0.667V0.667Zr
417,1726.89,0,Al0.667Nb0.667Ti0.667V0.667Zr
418,25,1280,Al0.667NbTa0.333TiZr0.333
419,800,728,Al0.667NbTa0.333TiZr0.333
420,1000,403,Al0.667NbTa0.333TiZr0.333
421,1862.57,0,Al0.667NbTa0.333TiZr0.333
422,25,1620,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
423,500,1120,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
424,600,805,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
425,700,567,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
426,800,302,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
427,900,214,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
428,1000,116,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
429,1100,79,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
430,1257.23,0,AlCo0.5Cr0.5Cu0.5Fe0.5Ni0.5
431,25,948,AlCoCrCuFeNi
432,600,561,AlCoCrCuFeNi
433,700,307,AlCoCrCuFeNi
434,800,172,AlCoCrCuFeNi
435,900,98,AlCoCrCuFeNi
436,1000,47,AlCoCrCuFeNi
437,1356.68,0,AlCoCrCuFeNi
438,20,1511,AlCrCuFeNi
439,400,1366,AlCrCuFeNi
440,600,410,AlCrCuFeNi
441,800,48,AlCrCuFeNi
442,1329.02,0,AlCrCuFeNi
443,20,740,AlNbTaTi
444,100,740,AlNbTaTi
445,200,740,AlNbTaTi
446,1955.63,0,AlNbTaTi
447,25,1020,AlNbTiV
448,25,1000,AlNbTiV
449,600,780,AlNbTiV
450,800,560,AlNbTiV
451,1000,110,AlNbTiV
452,-196,419,Co0.5Fe0.5Mo0.1NiV0.25
453,-70,350,Co0.5Fe0.5Mo0.1NiV0.25
454,20,252,Co0.5Fe0.5Mo0.1NiV0.25
455,600,214,Co0.5Fe0.5Mo0.1NiV0.25
456,700,212,Co0.5Fe0.5Mo0.1NiV0.25
457,800,187,Co0.5Fe0.5Mo0.1NiV0.25
458,1579.28,0,Co0.5Fe0.5Mo0.1NiV0.25
459,25,219,Cr0.5FeMn0.625Ni0.375
460,400,132,Cr0.5FeMn0.625Ni0.375
461,600,115,Cr0.5FeMn0.625Ni0.375
462,1519.86,0,Cr0.5FeMn0.625Ni0.375
463,23,1576,Cr3NbTiZr
464,1000,139,Cr3NbTiZr
465,1200,32,Cr3NbTiZr
466,1953.5,0,Cr3NbTiZr
467,20,1630,CrMoNbTi
468,200,1268,CrMoNbTi
469,400,1115,CrMoNbTi
470,600,1062,CrMoNbTi
471,800,1058,CrMoNbTi
472,2168.75,0,CrMoNbTi
473,25,1518,CrMoNbV
474,20,1795,CrMoTaTi
475,100,1506,CrMoTaTi
476,200,1266,CrMoTaTi
477,300,1183,CrMoTaTi
478,400,1175,CrMoTaTi
479,600,1162,CrMoTaTi
480,800,1162,CrMoTaTi
481,1000,1159,CrMoTaTi
482,2303.75,0,CrMoTaTi
483,23,1576,CrNb0.333Ti0.333Zr0.333
484,1000,139,CrNb0.333Ti0.333Zr0.333
485,1200,32,CrNb0.333Ti0.333Zr0.333
486,1953.48,0,CrNb0.333Ti0.333Zr0.333
487,25,2034,CrTaTi0.17VW
488,1200,750,CrTaTi0.17VW
489,2527.47,0,CrTaTi0.17VW
490,25,1065,Hf0.25Nb0.25TiV0.5Zr0.5
491,600,718,Hf0.25Nb0.25TiV0.5Zr0.5
492,800,135,Hf0.25Nb0.25TiV0.5Zr0.5
493,1891.2,0,Hf0.25Nb0.25TiV0.5Zr0.5
494,25,980,Hf0.25Nb0.5TiV0.5Zr0.5
495,600,859,Hf0.25Nb0.5TiV0.5Zr0.5
496,800,195,Hf0.25Nb0.5TiV0.5Zr0.5
497,1944.45,0,Hf0.25Nb0.5TiV0.5Zr0.5
