,Temp,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd
92,800,860,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
93,1000,594,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
94,1200,105,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
95,1867.1,0,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
96,400,1070,AlCrMoTi,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
97,600,1020,AlCrMoTi,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
98,800,875,AlCrMoTi,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
99,1000,375,AlCrMoTi,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
100,1200,100,AlCrMoTi,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
101,1715,0,AlCrMoTi,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0
102,25,1550,AlCrNbTiV,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0
103,600,1015,AlCrNbTiV,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0
104,800,860,AlCrNbTiV,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0
105,1000,65,AlCrNbTiV,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0
106,1725,0,AlCrNbTiV,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0
107,25,2197,AlMo0.5NbTa0.5TiZr,0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0
108,25,2000,AlMo0.5NbTa0.5TiZr,0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0
109,600,1870,AlMo0.5NbTa0.5TiZr,0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0
110,800,1597,AlMo0.5NbTa0.5TiZr,0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0
111,1000,745,AlMo0.5NbTa0.5TiZr,0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0
112,1200,250,AlMo0.5NbTa0.5TiZr,0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0
113,1896,0,AlMo0.5NbTa0.5TiZr,0.2,0,0,0,0,0,0,0.1,0.2,0,0.2,0.2,0.1,0,0,0,0
114,25,1320,AlMo0.5NbTa0.5TiZr0.5,0.222222222,0,0,0,0,0,0,0.111111111,0.222222222,0,0.111111111,0.222222222,0.111111111,0,0,0,0
115,1000,935,AlMo0.5NbTa0.5TiZr0.5,0.222222222,0,0,0,0,0,0,0.111111111,0.222222222,0,0.111111111,0.222222222,0.111111111,0,0,0,0
116,1901,0,AlMo0.5NbTa0.5TiZr0.5,0.222222222,0,0,0,0,0,0,0.111111111,0.222222222,0,0.111111111,0.222222222,0.111111111,0,0,0,0
117,600,520,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
118,800,500,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
119,1000,540,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
120,1200,200,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
121,1857,0,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
122,23,1100,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
123,600,520,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
124,800,500,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
125,1000,540,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
126,1200,200,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
127,1857.1,0,AlMoNbTi,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0
128,25,1280,AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.1,0.3,0,0.1,0.3,0,0,0,0,0
129,800,728,AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.1,0.3,0,0.1,0.3,0,0,0,0,0
130,1000,403,AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.1,0.3,0,0.1,0.3,0,0,0,0,0
131,1863,0,AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.1,0.3,0,0.1,0.3,0,0,0,0,0
132,25,1352,AlNbTa0.5TiZr0.5,0.25,0,0,0,0,0,0,0.125,0.25,0,0.125,0.25,0,0,0,0,0
133,1000,535,AlNbTa0.5TiZr0.5,0.25,0,0,0,0,0,0,0.125,0.25,0,0.125,0.25,0,0,0,0,0
134,1810,0,AlNbTa0.5TiZr0.5,0.25,0,0,0,0,0,0,0.125,0.25,0,0.125,0.25,0,0,0,0,0
135,22,1020,AlNbTiV,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0
136,600,810,AlNbTiV,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0
137,800,685,AlNbTiV,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0
138,1000,158,AlNbTiV,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0
139,1679,0,AlNbTiV,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0
140,25,1500,AlNbTiVZr,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0
141,600,1155,AlNbTiVZr,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0
142,800,550,AlNbTiVZr,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0
143,1714,0,AlNbTiVZr,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0
144,25,1290,AlNbTiVZr0.1,0.243902439,0,0,0,0,0,0,0,0.243902439,0.243902439,0.024390244,0.243902439,0,0,0,0,0
