,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,Assigned Point
28,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,5389.74802725
29,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,5389.74802725
30,5.1,0.219809008,7.986019711,-4.92,14.53343194,77.8,149.8,0.327,5.2,5.971,-0.031814,6.48,-0.0374,2500.45,5389.74802725
31,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,5203.52853735
32,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,5203.52853735
33,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,5203.52853735
34,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,5203.52853735
35,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,5203.52853735
36,4.76190476,0.088049262,6.029962613,-0.226757369,11.36313594,72.85714283,152.3809523,0.35,4.999999998,5.528571426,0.005102041,2.947845803,-0.022108844,2485.142856,5203.52853735
37,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,5034.05906655
38,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,5034.05906655
39,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,5034.05906655
40,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,5034.05906655
41,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,5034.05906655
42,4.0,0.451331364,29.56838163,-2.75,8.644238489,55.75,125.0,0.22,4.0,4.75,-0.0142375,6.375,-0.0625,1822.6125,5034.05906655
43,3.756097561,0.339315502,28.47469524,-0.237953599,9.336658762,46.17073171,109.6097561,0.283902439,3.756097561,4.463170732,-0.005294468,-7.596668649,-0.005710886,1728.60122,4943.34405375
44,3.756097561,0.339315502,28.47469524,-0.237953599,9.336658762,46.17073171,109.6097561,0.283902439,3.756097561,4.463170732,-0.005294468,-7.596668649,-0.005710886,1728.60122,4943.34405375
45,3.756097561,0.339315502,28.47469524,-0.237953599,9.336658762,46.17073171,109.6097561,0.283902439,3.756097561,4.463170732,-0.005294468,-7.596668649,-0.005710886,1728.60122,4943.34405375
46,3.756097561,0.339315502,28.47469524,-0.237953599,9.336658762,46.17073171,109.6097561,0.283902439,3.756097561,4.463170732,-0.005294468,-7.596668649,-0.005710886,1728.60122,4943.34405375
47,4.363636368,0.268429776,21.3020234,-3.305785131,10.67694273,65.18181825,123.6363638,0.262727273,4.363636368,5.193636369,-0.025919008,3.851239677,0.006446281,1918.940911,4954.4870393
48,4.363636368,0.268429776,21.3020234,-3.305785131,10.67694273,65.18181825,123.6363638,0.262727273,4.363636368,5.193636369,-0.025919008,3.851239677,0.006446281,1918.940911,4954.4870393
49,4.363636368,0.268429776,21.3020234,-3.305785131,10.67694273,65.18181825,123.6363638,0.262727273,4.363636368,5.193636369,-0.025919008,3.851239677,0.006446281,1918.940911,4954.4870393
